,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,0.0,0.9880440450223494,0.9788844110849378,0.9862133333333334,0.008812293212174187,0.015696665870758034,0.010151783641858763
1,0.1,0.988046546522829,0.9782748943630313,0.9860933333333333,0.008812948721426574,0.015139584517030315,0.010030096930959565
2,0.2,0.9880448776666,0.9778694443463006,0.9860106666666664,0.00880997315419107,0.014734367892833042,0.00992782272202722
3,0.3,0.9880448798218366,0.9781354685879837,0.986064,0.00880970119890703,0.014966290908550412,0.009989707681186457
4,0.4,0.9880457115909954,0.9773875274069167,0.9859146666666667,0.008811987877792258,0.014252117654523923,0.009830818119001536
5,0.5,0.9880448770408878,0.9778484529248237,0.9860066666666671,0.008811695446118878,0.01465246950292276,0.009914857538058732
6,0.6,0.9880465505199999,0.9774045073468162,0.9859200000000001,0.008811599890646105,0.01412584658175658,0.009788063024816392
7,0.7,0.9880432148195903,0.9768637469525647,0.9858086666666671,0.008813282888089333,0.014162306401179471,0.009770988372615018
8,0.8,0.9867564921064595,0.9568432061101791,0.9807913333333335,0.01244451044853056,0.13437514176295268,0.03499425591595157
9,0.9,0.9867573234583452,0.9564249010970469,0.9807093333333329,0.01243732663297505,0.13425182752507117,0.034958414685642335
10,1.0,0.982552439697931,0.899398209425708,0.9659459999999999,0.02112157950713644,0.25640528712503013,0.06709941741426176
