,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.0073775965313154805,0.007627436210132598,0.006428969018516037,0.005731471494558238,0.0058234013657897125,0.005848921311053207
1,0.023762512024623823,0.02256590288808411,0.02191893049397642,0.0063211275213552656,0.0058234013657897125,0.006036532262246574
2,0.042449496161461854,0.04063060596513276,0.03954805368485194,0.007285155211776642,0.0058234013657897125,0.007292432250080652
3,0.0603241711068087,0.058308214353446144,0.05766345419526901,0.00729328840693525,0.0058234013657897125,0.007179346067093475
4,0.07628734966249694,0.07415589862039623,0.07420309857450275,0.007368764140636708,0.0058234013657897125,0.0075095234067975025
5,0.09722451056170016,0.0950013305161255,0.09512596421759041,0.00934381930113618,0.0058234013657897125,0.008973094100797302
6,0.11203596318053562,0.10901063890514426,0.10962018850124604,0.011145233112379752,0.0058234013657897125,0.009482981726382195
7,0.1293600472079892,0.12637648808082758,0.12715574923691167,0.011895153557947041,0.0058234013657897125,0.010180797571202105
8,0.1455959298760033,0.14373974426601996,0.14249378650559244,0.012240084742212217,0.0058234013657897125,0.011599880126279447
9,0.16340003643526838,0.16259708423989433,0.1615545731585332,0.011734926071700288,0.0058234013657897125,0.009007729607568512
10,0.17950635479090898,0.17921733643317947,0.17761794197072392,0.17760569243464475,0.0058234013657897125,0.1761812987573788
