,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,-0.5,1.0,0.9714606225377509,0.9942699999999999,0.0,0.007888186985489098,0.0015960680854316255
1,-0.4,0.8222231543672057,0.9352051229174062,0.8447600000000002,0.1084136589136803,0.10243383019720535,0.1071192075317131
2,-0.3,0.9214248249548532,0.9790632744345664,0.9329833333333333,0.005744484931208493,0.009140340016168006,0.00619552257682917
3,-0.2,0.9559245401413131,0.9912384057451705,0.9629900000000001,0.03779298869376187,0.007473932580472143,0.029654480830615348
4,-0.1,0.9979995964489626,0.99778788402283,0.9979566666666667,0.0012782834783731116,0.001990256584092866,0.0014143746164137667
5,0.0,0.9959412374646334,0.9960350092188521,0.9959599999999998,0.002980085238512766,0.0019203480594405457,0.002708948135347005
6,0.1,0.997502091993342,0.9968385254986039,0.9973700000000001,0.0014874746320948944,0.0016696661027887252,0.0014689716735790913
7,0.2,0.9794303452532395,0.990852098172571,0.9817333333333333,0.029987985925563464,0.004632495418838825,0.02402258659400913
8,0.3,0.9588687954240861,0.9781149390615692,0.9627200000000002,0.03255577844607609,0.012086201286104983,0.02564636079879993
9,0.4,0.9816680183823774,0.9631500733325062,0.9779699999999998,0.03754267257261625,0.006577510445132465,0.030442263932456356
10,0.5,1.0,0.9652298687402266,0.9930399999999999,0.0,0.013965753188043118,0.0028008252752041046
