,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.16232645209049842,0.16232645209049842,0.16779363363520342,0.16329466356070468,0.16329466356070468,0.1691960868563221
1,0.1797059683548091,0.16276063040038188,0.16808217885917917,0.1796935517043516,0.16329466356070468,0.16922075723270097
2,0.20077646360404514,0.1634967602765085,0.16738214919458017,0.19751696998494805,0.16329466356070468,0.16756165908597687
3,0.22655712223190133,0.1643964065781456,0.16606349330283598,0.21775626698201445,0.16329466356070468,0.16520431465373356
4,0.25860417260105273,0.16533258844843146,0.1377108321718979,0.24181827938214526,0.16329466356070468,0.13394605459283979
5,0.29350917097154644,0.1666604524263869,0.12060037205343173,0.26754990926307776,0.16329466356070468,0.11659878631699183
6,0.3298301903330925,0.16893756776186297,0.11455464079444726,0.29339524084200563,0.16329466356070468,0.1136248975870706
7,0.36722740421147193,0.17210618252417625,0.1209868166132859,0.32028199630082893,0.16329466356070468,0.11640646113907664
8,0.40534896200385523,0.1772725206994737,0.14386424514461116,0.345017801901059,0.16329466356070468,0.13186385113709956
9,0.4415038739176426,0.1793648716590063,0.16652682042100903,0.3663061393299547,0.16329466356070468,0.14963897210086372
10,0.46276549471660666,0.20615775820739693,0.19661187937597255,0.38184664303137544,0.16329466356070468,0.17100016327561168
