,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.013621343479944214,0.01358022265341958,0.011679658348651622,0.01161093521458174,0.011947945595464683,0.010748578477813343
1,0.01987940228838191,0.018433850116895988,0.01732530573068664,0.012014510048948886,0.011947945595464683,0.011835374277001908
2,0.027591051718963335,0.024476750894591816,0.023722858637008865,0.013203471889411336,0.011947945595464683,0.011828248692933085
3,0.03704345433224052,0.03177311551084138,0.03247698282133062,0.015606474340106043,0.011947945595464683,0.012890450058104097
4,0.04478334205924773,0.039519071716347,0.03932708816254952,0.01652803724074405,0.011947945595464683,0.0134776382138987
5,0.05727036223302395,0.04678713898760336,0.04683740915485876,0.024204712622035936,0.011947945595464683,0.01644714597360009
6,0.06464680125734291,0.05245130619219195,0.05204701638853404,0.02779115339554488,0.011947945595464683,0.01702516258240672
7,0.08292352355543338,0.060891377973717555,0.060355790066961484,0.04130773728675728,0.011947945595464683,0.020886536082658592
8,0.1046684337402822,0.06730973094791147,0.06602577929115201,0.07074834571007724,0.011947945595464683,0.03593296694354575
9,0.14450153282072306,0.07310815185711846,0.07023795452679754,0.11716695342539213,0.011947945595464683,0.04879918573051732
