,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.07085985862009282,0.46923420334517446,0.2570581705715388,0.06161074547865674,0.4236461856393162,0.2431285444611104
1,0.12180594699873527,0.42945228590012396,0.1501665701704439,0.10803119722595803,0.38820334660245076,0.14344456437705586
2,0.10109888003962235,0.2890711212676259,0.12765841726871224,0.09283074619039641,0.2659958520957168,0.12203357812460004
3,0.09662919512514379,0.18459888861575716,0.09241937383696949,0.0862084660174694,0.16721118595769865,0.08267125316363341
4,0.06507474935294726,0.0794002675640732,0.0337149977920789,0.05917614887243568,0.07275831869567724,0.03439487898142128
5,0.018201077111882732,0.01191253569056918,0.010224549798714537,0.01343079650605397,0.00956101911454912,0.010391101660319759
6,0.12455630802657504,0.08996540900951366,0.07371647022114049,0.1152273952698634,0.08572154342931362,0.07101094609542553
7,0.26758417229707687,0.17149168483945362,0.1485135635799269,0.25071647235574657,0.16659806952500797,0.14243825123220266
8,0.44292882343066275,0.2797351364937247,0.19042405870371087,0.4128814079011755,0.28240368641794805,0.1814897641792346
9,0.609039591135449,0.3854483293404457,0.20986301257796341,0.5689776170724015,0.3851594860743812,0.2004275964357547
10,0.7883352906828968,0.4277185001387356,0.4458998456838372,0.7354673937947296,0.42624198952853476,0.444865205273466
