,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,1.0,0.9962578685491448,0.9937563886143493,0.9957566666666666,0.002158835804071804,0.005653921941766806,0.002297585689370492
1,0.9,0.9970949485535711,0.9928955859995329,0.9962533333333333,0.0016738076138584908,0.005018597154364412,0.0019008886810588817
2,0.8,0.9968535891057584,0.9934560074814247,0.9961733333333334,0.0015441907324098992,0.0026436831576675014,0.0015846345530331674
3,0.7,0.996586872972817,0.9892220686790447,0.9951133333333333,0.0014034679911076623,0.003338444347898341,0.0012706253928238818
4,0.6,0.9971033952700858,0.9898142613504755,0.9956433333333334,0.0015484218368845384,0.006029391261282651,0.0020224325287468525
5,0.5,0.9972201298526919,0.988837647063507,0.9955400000000001,0.0013690499720084293,0.007712190884633123,0.002113701334941461
6,0.4,0.997299306664331,0.9843176390609558,0.9946966666666667,0.0013819555545486835,0.009139957896688646,0.0021428148673078443
7,0.3,0.9972284418324462,0.9837367798060029,0.9945300000000001,0.0013810264620833642,0.006254428823670707,0.0015099264146897263
8,0.2,0.9973408930471062,0.9755572871973441,0.9929766666666666,0.0014683343438286539,0.009433857327336592,0.002650955802473264
9,0.1,0.9973283741628473,0.9692628948757687,0.9917133333333332,0.0014956721086288938,0.012999977173878963,0.002564899824771158
10,0.01,0.9973658918941215,0.9294749293955403,0.9837800000000001,0.001510194269654894,0.03733063669550429,0.007159177482240693
