,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,1.0,0.8719058373666777,0.7812003114973778,0.851933333333333,0.09212190321090231,0.11283157624427971,0.082822675370671
1,0.9,0.8730575525674237,0.7596403465902672,0.8524666666666668,0.09409751826014696,0.10800937041360359,0.08221329981618951
2,0.8,0.877965808007762,0.7427781833686647,0.8519999999999999,0.08726949537519019,0.11022424441911072,0.0759502761314562
3,0.7,0.8804642854671266,0.7335247335253936,0.8462000000000002,0.08299380532463069,0.07944551740138878,0.07054395005164431
4,0.6,0.8623035347495677,0.708206436660127,0.831266666666667,0.09369976439831325,0.10059405777017476,0.07810787412290773
5,0.5,0.8800872393649626,0.7136776804671695,0.8436000000000001,0.08751300322632435,0.10578959665239142,0.07368955903729585
6,0.4,0.8612047213632147,0.6577619859252273,0.8175999999999998,0.11478457357667553,0.1132687993493729,0.09953679386705869
7,0.3,0.8688950000349017,0.670462305942322,0.8306666666666668,0.12208028701574083,0.09337504359920956,0.10291744264214885
8,0.2,0.8548126270317556,0.6341077661839093,0.8138000000000001,0.1192303774123736,0.10431770449830678,0.10335055770424162
9,0.1,0.8348033659351358,0.5858658317967801,0.7901481481481482,0.13780866320935223,0.10567301628904734,0.12185390069199507
10,0.05,0.8111246673900138,0.5686457467061459,0.7638095238095236,0.15101607242088044,0.10465074074624693,0.1296363889826097
