,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.9,0.9757393866212826,0.9710457985010951,0.9747933333333333,0.005675352478408801,0.015879554461588275,0.006397183407997261
2,0.8,0.9503382565032517,0.9474358807388521,0.9497466666666665,0.01067786322611874,0.020068720623684786,0.010469120731412403
3,0.7,0.9240685522986696,0.919867677715412,0.9231933333333333,0.015832759060019807,0.02919702047752675,0.014554432696299467
4,0.6,0.896378828885085,0.8921241239190749,0.8954866666666668,0.016690972384159675,0.033848446453627216,0.015071858987309212
5,0.5,0.871988370002341,0.8649735107286802,0.8705333333333328,0.022064142973876374,0.04304292801782772,0.019727814543599776
6,0.4,0.8485247529542551,0.8405996167845431,0.8468866666666668,0.020501701998543186,0.0522702023270503,0.01918965114615456
7,0.3,0.821370142081464,0.810512784570511,0.8191466666666666,0.024222629465808984,0.06507661391327048,0.024727327213249533
8,0.2,0.7983777725363775,0.7820796116801497,0.7950466666666669,0.028261334449722852,0.07644751053786172,0.028150943145834377
9,0.1,0.774102901578627,0.7529176878239053,0.7698199999999998,0.029742521375171384,0.08106689225529683,0.029469472717071517
10,0.05,0.7626372004165173,0.7372170890091102,0.7575133333333334,0.029912269692335514,0.08458881769644111,0.028933887091474982
