,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.9,0.9751856991008971,0.9686762217064266,0.9738866666666666,0.005171764727110164,0.015123305715043205,0.005514268360857633
2,0.8,0.9511330224124002,0.9421512789204463,0.9493466666666671,0.009583183737340392,0.024192160406987635,0.010221319766927252
3,0.7,0.9262214420250026,0.917606086549026,0.9244999999999998,0.01312409310995994,0.028875452379410325,0.013012173787137437
4,0.6,0.9019785716595389,0.8947378181232633,0.9005333333333332,0.015249256502500093,0.036216366449919525,0.01587548774403833
5,0.5,0.8759040865016332,0.8685461325130374,0.8744333333333336,0.02063026843293262,0.04405318911576061,0.020682064156601433
6,0.4,0.8540882148031587,0.8428580697425266,0.8518333333333336,0.023374000372408263,0.05618325954911083,0.024017516755716253
7,0.3,0.8283121767479238,0.8167336725977745,0.8259933333333332,0.026463637942720337,0.06484767471875748,0.02749112907426282
8,0.2,0.8040626114102022,0.7862072872879396,0.8004933333333334,0.030501783546150078,0.07074442368281203,0.030507721426987412
9,0.1,0.779713454378223,0.7570452478094257,0.7752133333333334,0.03240364918609691,0.07560756030633564,0.03291603864379795
10,0.0,0.7580523208690813,0.7338319991100805,0.7532466666666666,0.034462984162377606,0.07620784354938999,0.034943497885077904
