,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.035792426506058864,0.035792426506058864,0.0225041995839836,0.033716377596846946,0.033716377596846946,0.02899536476867346
1,0.0347860775300656,0.0362729520804386,0.02473434795757511,0.03521483101550711,0.033716377596846946,0.027558010476676977
2,0.03897908332102454,0.036758929933906795,0.02524553551096304,0.03784979944380255,0.033716377596846946,0.03117875241705402
3,0.044405535679245524,0.038487942732878345,0.025634419106375064,0.04225989467071093,0.033716377596846946,0.030173888863861062
4,0.052200489708513736,0.0380794547736498,0.023539289435371088,0.04696641150875643,0.033716377596846946,0.030235894753000626
5,0.05643941655986544,0.03966254254945016,0.02430509050705812,0.0479965319558692,0.033716377596846946,0.032499148295888305
6,0.06752139710815058,0.041030607108924144,0.02708842650883228,0.05169231617463893,0.033716377596846946,0.032455885989831075
7,0.07241754676986707,0.046181076800913295,0.029938252368931703,0.05709425894648861,0.033716377596846946,0.032300658175428945
8,0.08258195532171801,0.0554368131791305,0.037321141648653626,0.061544132163303275,0.033716377596846946,0.03260218886275576
9,0.09638772091537634,0.07372819634621419,0.04930353977677053,0.06560089117093021,0.033716377596846946,0.03725794344373609
10,0.03011006609289441,0.02498448830224115,0.02475908897512215,0.0685279797434043,0.033716377596846946,0.03163354178820083
