,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.0094613704585286,0.0094613704585286,0.0017055985156134146,0.011247380183539412,0.011247380183539412,0.012863296187832253
1,0.012203082766980148,0.01219902675495189,0.0018064648477887624,0.010905064596358191,0.011247380183539412,0.013400743913447019
2,0.01791523896941277,0.017715970984369826,0.002330535566875944,0.01137455690267961,0.011247380183539412,0.017726012888718407
3,0.022935974262468805,0.023219422788756675,0.002253404131226624,0.011083802343578855,0.011247380183539412,0.022830012378373152
4,0.028690885610379264,0.028477743308087583,0.0027351740621518396,0.010963704901065054,0.011247380183539412,0.031193543699586004
5,0.03469973739827484,0.03425795111401105,0.002906504577324004,0.011643401452750158,0.011247380183539412,0.03682291929101332
6,0.04127475409807534,0.041044972381683795,0.0029809898628878695,0.011390157429450282,0.011247380183539412,0.04983463054476079
7,0.04811971794576803,0.0474289349309807,0.0033447046317219664,0.010904787953790525,0.011247380183539412,0.05723625752768584
8,0.05260704034589803,0.05225404379486531,0.003900598423263783,0.011594854629024307,0.011247380183539412,0.06391618792249867
9,0.05984648565107709,0.05893131696396347,0.003281119921717397,0.01214877138465603,0.011247380183539412,0.07047920033868876
10,0.06546025801644804,0.06515716453863721,0.003915250197017157,0.06885817585377427,0.011247380183539412,0.013197482069859148
