,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,0.0,0.9842358333333333,0.6313733333333333,0.9138513333333332,0.01163298295198231,0.01070215762254405,0.01056806764634755
1,0.05,0.9851966666666666,0.6492500000000001,0.9182906666666668,0.011814565633619854,0.011646375211006879,0.010703156419175292
2,0.1,0.9853491666666669,0.6694733333333331,0.9226186666666665,0.011329806099399932,0.013020469354912748,0.010484643076635668
3,0.15,0.98629,0.6951033333333334,0.9281039999999996,0.01109348207031699,0.012980108285800672,0.010401294022059623
4,0.2,0.9871916666666667,0.726073333333333,0.9351266666666664,0.010773208152119254,0.014363965716720134,0.010230690212406112
5,0.25,0.9880466666666667,0.7642633333333333,0.9432973333333338,0.009863205473993854,0.017209173587234092,0.009209617774672057
6,0.3,0.9880433333333336,0.8102199999999999,0.9526246666666666,0.009816896431946071,0.02095514892971813,0.009650185513473018
7,0.35,0.9879558333333336,0.8807066666666669,0.9663266666666663,0.009798626639880601,0.029079957970319616,0.010758597595515054
8,0.4,0.9677016666666668,0.95546,0.9649806666666665,0.026845960227854692,0.022892710144886252,0.020691188774183297
9,0.45,0.859935,0.9545933333333333,0.8790593333333336,0.03479700274448935,0.018235897443108072,0.02846909536087627
