,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,0.0,0.823358333333333,0.5608766666666667,0.7708386666666666,0.01656962373005361,0.015483209902629648,0.015115680394139658
1,0.05,0.8523708333333333,0.5806499999999999,0.7981213333333332,0.010721380670054681,0.01717007247768306,0.011135865500464906
2,0.1,0.8756800000000005,0.6027033333333334,0.8211433333333334,0.010649183067259196,0.01598211813246292,0.01087675656311813
3,0.15,0.9007241666666665,0.6310833333333336,0.8467540000000001,0.008139674312690075,0.016178560916636976,0.008723505640891548
4,0.2,0.9223058333333332,0.6620899999999998,0.8705720000000001,0.006555254518747201,0.016110942106393272,0.0071101034841664305
5,0.25,0.9434616666666669,0.7042533333333333,0.8954239999999999,0.004684088313998072,0.019141178414902028,0.005837663307256499
6,0.3,0.9601900000000002,0.7492366666666664,0.9179246666666667,0.0064221846404129085,0.02179707141389004,0.0074021402610626496
7,0.35,0.9678450000000001,0.8147966666666666,0.937148666666667,0.01457827779037474,0.028084164972849414,0.008969729860914311
8,0.4,0.9218333333333336,0.8748300000000002,0.9123406666666668,0.024270123380174417,0.028263610094175082,0.016091752601186043
9,0.45,0.8436158333333335,0.9333100000000001,0.8611766666666667,0.03303555669653532,0.02706603057544846,0.024609894351662703
