,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.009666011659328934,0.009666011659328934,0.0019501796992388298,0.010138812095828746,0.010138812095828746,0.010754872619833886
1,0.009994678773381959,0.009701491748886869,0.002117814638283231,0.01003088185640611,0.010138812095828746,0.011241619771017066
2,0.01080737572904667,0.01043016168500127,0.002382043046088953,0.010189033171097308,0.010138812095828746,0.011449169310759615
3,0.011022957060164443,0.01073519116639343,0.0022308768191247443,0.010957069068853192,0.010138812095828746,0.01128161315521115
4,0.011662638348829524,0.010704479390274952,0.0023386445936355795,0.010867655322174765,0.010138812095828746,0.011095943409795478
5,0.013606018765680475,0.012409616393812314,0.0028378514042028923,0.01105566350501598,0.010138812095828746,0.012627781701080804
6,0.01592349909810968,0.014667024101397757,0.003668204340631359,0.011731791622388448,0.010138812095828746,0.0137585406733099
7,0.01842762966809689,0.01731748769317161,0.004779028641801259,0.012222738512949478,0.010138812095828746,0.014939207560521257
8,0.022001429043899644,0.019666358293277515,0.0053880781888706744,0.013298599771256827,0.010138812095828746,0.017169341321361355
9,0.032720242314089175,0.03146560165519682,0.01105594525214263,0.01992389702264266,0.010138812095828746,0.026933970059768036
10,0.04354247553709072,0.04178731522887379,0.025244592036010722,0.022470489169732683,0.010138812095828746,0.03939369893128203
