,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,0.0,0.9705527856991688,0.9728517308573699,0.9710386666666666,0.026795647629360732,0.01614190956873729,0.02163233111186433
1,0.1,0.9634847309460502,0.9707527636693082,0.9648620000000002,0.029986645086909607,0.02042898305081182,0.026330315447323362
2,0.2,0.954530649829085,0.9616501462709767,0.9561273333333332,0.03376216271118864,0.0192103503781805,0.02867621522369288
3,0.3,0.9509767724032021,0.9492280527967877,0.9509453333333334,0.036665165096238544,0.027815579306757883,0.03231710847901534
4,0.4,0.9512577407380731,0.9347703140597836,0.9479646666666668,0.030766980052707425,0.03601282511631449,0.02742401414008452
5,0.5,0.9565906132275974,0.915604398303359,0.9483086666666668,0.029166865797683003,0.04943915928582711,0.024517769347511566
6,0.6,0.9561516425952483,0.8916850342041808,0.9433393333333335,0.03263538358945324,0.055820558113913996,0.02590675818306019
7,0.7,0.9578220144665123,0.8480479278156874,0.9359100000000004,0.03250475121162705,0.0594624550017196,0.023497055371069598
8,0.8,0.962409939768788,0.826586355596126,0.9354880000000001,0.03239411246825364,0.05761511585145454,0.02191054009172551
9,0.9,0.9659198975094061,0.7950992502418235,0.9321079999999998,0.02951501724321885,0.05153040220423913,0.01971227092165915
10,1.0,0.9694393592920895,0.7797245796754315,0.9318799999999999,0.029412733367111903,0.05038213697118163,0.018878286174568097
