,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.07877345716665815,0.4768673082179851,0.00031414233358801133,0.0695430202797478,0.42908766021265626,0.0002974149729499945
1,0.1262890639757237,0.42969853269265906,0.003992970722499785,0.11259741898869022,0.3903202387716444,0.00725180569460081
2,0.11963128966016369,0.3006429392495841,0.005266970676308379,0.10708328129374131,0.27231516183103965,0.011890149952419469
3,0.09529716343663555,0.18216855725701925,0.004060987282045418,0.08562763900145107,0.163911999625842,0.011568035754241169
4,0.06340056121009141,0.0764164415911737,0.0028685632473588784,0.053995433800462705,0.07271679545254624,0.013204299860164663
5,0.014608272770253544,0.011352276683911098,0.002274198054963117,0.012080746654807606,0.009467991314540035,0.014079774627935469
6,0.11765162890048639,0.08667866841053079,0.0028032726538155706,0.11065945288372551,0.08372199322816179,0.014156372875877517
7,0.26476338021486745,0.16957550442010694,0.003521556145594613,0.24565019360746604,0.1632414303039858,0.012704994831232323
8,0.4329031933888194,0.2829441922470715,0.004371531684657759,0.4038981638140991,0.2816785976145559,0.010270360273870937
9,0.6088428298344357,0.38711226658916026,0.005034408348707842,0.5708950144408287,0.38547453065630266,0.006622328139354272
10,0.7876734807118558,0.4190159542459627,0.0006505554517657197,0.7318617078877167,0.4194865437012457,0.0007134899534426676
