,bias_amts,mean_fidel_maj,mean_fidel_min,mean_fidel,y_err_fidel_maj,y_err_fidel_min,y_err_fidel
0,1.0,0.9707625939745477,0.9731015161883246,0.9711153333333336,0.025454280497531383,0.022038946212284066,0.020098581718895267
1,0.9,0.9712054316853365,0.9696996200528268,0.9707993333333333,0.025293089045640243,0.01926903074531752,0.019921245487613915
2,0.8,0.9670264496387684,0.9617609563292269,0.9660486666666666,0.02627887904214337,0.021887119950791768,0.020967813651721855
3,0.7,0.9680001263633584,0.9595149808352115,0.9664853333333334,0.029188571765305954,0.02172499890414026,0.023221755278665348
4,0.6,0.9659443409733965,0.953017236028652,0.9635046666666667,0.02671184286854967,0.022106109636391334,0.02140496309010808
5,0.5,0.9626718299262962,0.9445880365488688,0.9591533333333334,0.033153964416819594,0.025795443626949913,0.026896788738517547
6,0.4,0.9609761605607003,0.9357831348676693,0.9560046666666665,0.037629366991934254,0.027569251399123588,0.031181509485234637
7,0.3,0.9629809945491493,0.9293496337659467,0.9561013333333334,0.031256754114944135,0.03194148096459135,0.025184969026959093
8,0.2,0.9614427467014782,0.9071980446991615,0.9504646666666666,0.03514780807163483,0.03502123314305353,0.02969886747560137
9,0.1,0.9507108519061549,0.8521600461220273,0.9307520000000002,0.05993029153539363,0.05660186796408504,0.053119050426586344
10,0.05,0.9591596698075278,0.7955470384707286,0.9263473333333334,0.05342953906136249,0.06115317380180745,0.04777058792464947
