,Biased Train,BO Train,Mitigated Train,Biased Test,BO Test,Mitigated Test
0,0.009998359028565723,0.009998359028565723,0.002029022034008574,0.010246421079419803,0.010246421079419803,0.012902109333469221
1,0.013335014142951915,0.013260949158023932,0.001599028451452712,0.010260837007731257,0.010246421079419803,0.01310336715123068
2,0.018995388744357376,0.01902813039899806,0.001978510225434983,0.010107307556950091,0.010246421079419803,0.017818949970071097
3,0.023907936146965784,0.023569678128674908,0.0025873528705164716,0.010256083834851238,0.010246421079419803,0.023007110414194263
4,0.029819048580629354,0.02958669995098963,0.002974750785726685,0.010209111098536935,0.010246421079419803,0.030826543300149684
5,0.036443120718543456,0.035880340270973796,0.0030923827133242155,0.010214442170207455,0.010246421079419803,0.03757949087682751
6,0.04393660388265002,0.043593371584582735,0.003096453269611954,0.010696682978149588,0.010246421079419803,0.04898400849238846
7,0.04785160287988782,0.04780102602481845,0.0035390186588686685,0.010580927126071648,0.010246421079419803,0.05954705023258128
8,0.055422953720852985,0.05524997881211696,0.0034789557068265332,0.011539762369492643,0.010246421079419803,0.06613914710758963
9,0.06216600281384384,0.06177403761434829,0.003698910882570948,0.0120392161477117,0.010246421079419803,0.07609089459642208
10,0.06791088703992466,0.06803099336907566,0.003359577994433128,0.06917886138111172,0.010246421079419803,0.013125801752224416
